Date,Event,Type,Location,Source,URL,Sl. No,Month,Date.1,Month.1,Year,Country,Type of Event,Place Name,Impact,Affected Population,Important Person/Group Responsible,Outcome
01/05/2020,"Globally, authorities report roughly 3.3 million confirmed cases of COVID-19, with about 1.2 million being active and ongoing cases, roughly 1 million recoveries, and 234,000 deaths.",,,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3,,,,,,,,,,,,
03/05/2020,"US reports the highest single-day death toll for any country: more than 2,900.",,,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3,,,,,,,,,,,,
11/05/2020,"Globally, authorities report roughly 4.1 million confirmed cases of COVID-19, with about 2.4 million being active and ongoing cases, roughly 1.4 million recoveries, and 284,000 deaths.",,,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3,,,,,,,,,,,,
11/05/2020,"Several countries, such as Spain, Iran, Italy, Denmark, Israel, Germany, New Zealand, and Thailand, have begun to ease their lockdown restrictions.",,,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3,,,,,,,,,,,,
21/05/2020,"The number of deaths linked to the coronavirus surpassed 2,000 in Los Angeles County.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
21/05/2020,"The European Union Aviation Safety Agency updated their recommendations for airports and airlines. The new guidelines recommended that all passengers should wear face masks and that access to airport terminals should be limited to only passengers, crew members and staff.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
21/05/2020,The number of global COVID-19 cases surpasses 5 million.,,,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3,,,,,,,,,,,,
21/05/2020,"The U.S. National Park Service said Grand Canyon National Park's South Rim will be open to the public starting May 22 to May 25 for “limited entry and recreational access,” following guidance from the White House, CDC, and state and local public health authorities.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
21/05/2020,"Another 2.44 million Americans filed for initial unemployment benefits the week before, bringing the total number of people who lost their job so far during the coronavirus pandemic to almost 40 million.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
21/05/2020,"A huge spike in coronavirus cases in the Middle East, where many were observing the Islamic month of Ramadan, led countries to extend and reinforce lockdown measures to prevent its spread during the Eid holiday.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
21/05/2020,British-Swedish pharmaceutical company AstraZeneca received more than $1 billion in funding from the U.S. Health Department’s Biomedical Advanced Research and Development Authority to develop a coronavirus vaccine in collaboration with the University of Oxford.,,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
21/05/2020,"President Trump announced on Twitter that about $300 million was heading to New York's struggling Metropolitan Transit Authority, part of the $3.9 billion that's been allocated for New York under coronavirus stimulus legislation passed by Congress.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
21/05/2020,"Amazon confirmed that another warehouse worker died from COVID-19, bringing the total known deaths to eight employees.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
21/05/2020,"Brazil recorded another new record for daily coronavirus deaths after 1,188 new fatalities were reported in the past 24 hours. Brazil’s total number of fatalities passed 20,000 and the number of cases nationwide rose to 310,087.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
21/05/2020,"Confirmed cases in Pennsylvania surpassed 65,000, as the state’s death toll rose to 4,869.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
22/05/2020,"The National Institute of Allergy and Infectious Diseases published long-awaited results of its first study of remdesivir, an antiviral medication that Dr. Anthony Fauci previously said has a ""clear-cut, significant, positive effect"" on patients with COVID-19.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
22/05/2020,The Justice Department filed a statement of interest backing a lawsuit challenging the pandemic-related stay at home restrictions in Illinois.,,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
22/05/2020,Rental car company Hertz filed for bankruptcy protection after more than 100 years in the business.,,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
22/05/2020,"New York Gov. Andrew Cuomo signed an executive order allowing groups of 10 people or fewer to congregate. Social distancing, cleaning and disinfection protocols must be followed as required by the state's Department of Health, according to the order.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
22/05/2020,"President Trump announced that places of worship are ""essential"" and should open over the weekend, a move that threatened to override governors who have ordered churches, synagogues and mosques not to reopen in the coming days.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
22/05/2020,"Brazil surpassed Russia in total number of confirmed coronavirus cases, according to Johns Hopkins University data. Brazil had 330,890 confirmed cases, making it second in the world behind the U.S., which had 1.6 million cases.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
22/05/2020,Nevada Gov. Steve Sisolak set a tentative June 4 date for reopening the state’s shuttered casinos.,,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
22/05/2020,The Department of Health and Human Services announced that it would begin distributing $4.9 billion in CARES Act funding to nursing homes in an effort to help the hard-hit facilities curb the spread of the coronavirus.,,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
22/05/2020,"A new study published in The Lancet found that hydroxychloroquine, a drug that President Trump said he was taking as a preventive strategy and has publicly touted, does not help COVID-19 patients, and may increase deaths.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
22/05/2020,"Two children in Washington State were diagnosed with a rare and potentially deadly COVID-19-linked condition known as Multisystem Inflammatory Syndrome in Children, or MIS-C.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
22/05/2020,An experimental coronavirus vaccine under development at the University of Oxford progressed to advanced stages of human trials.,,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
23/05/2020,"New cases of the coronavirus in India topped 6,000 for a second consecutive day, marking another record jump for the South Asian country in a 24-hour period.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
23/05/2020,Gov. Andrew Cuomo announced that New York saw the lowest number of daily coronavirus deaths since the state became the epicenter of the virus.,,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
23/05/2020,"An NBA spokesperson said the league was in ""exploratory"" talks with the Walt Disney Co. to possibly restart its season at the Walt Disney World Resort in Florida in late July.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
23/05/2020,Former Vice President Joe Biden won Hawaii's Democratic presidential primary in an election that was all vote-by-mail because of the coronavirus pandemic.,,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
23/05/2020,"The U.S. Court of Appeals for the Ninth Circuit upheld California Gov. Gavin Newsom's ban on gatherings at houses of worship, denying an emergency motion that sought to resume in-person services while the case is appealed.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
23/05/2020,"More than 100 workers at a Los Angeles-area meat plant tested positive for the coronavirus, the Los Angeles County public health department announced.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
23/05/2020,The Australian state of Queensland postponed work on its bid for the Olympic 2032 Games to focus on the coronavirus outbreak.,,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
23/05/2020,"China reported no new confirmed infections or deaths in the past 24 hours, marking the first time the country registered zero new infections of the virus since they began reporting data in January.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
23/05/2020,"South Korea reported 23 new coronavirus cases, mostly from the densely-populated Seoul metropolitan area where authorities had shut down thousands of nightclubs, bars and karaoke rooms in an attempt to stem transmissions.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
23/05/2020,Spanish Prime Minister Pedro Sánchez announced plans to reopen the country to international tourists in July.,,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
23/05/2020,"President Trump visited his private golf course in Virginia, marking his first time back at one of his private golf courses in 75 days. The visit came as the White House pushed states to lift stay-at-home orders and for the economy to reopen.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
24/05/2020,"Thailand reported no new coronavirus cases and no new deaths, maintaining the country’s total of 3,040 confirmed cases and 56 fatalities since the outbreak began in January.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
24/05/2020,"A senior adviser to Britain's Prime Minister Boris Johnson faced calls for his resignation after reports that he drove 250 miles to his parents house while his wife showed virus symptoms, breaching lockdown regulations.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
24/05/2020,The Vatican announced that the Vatican Museums will reopen on June 1 after a three-month lockdown that had drained the Holy See's finances.,,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
24/05/2020,"China confirmed three new COVID-19 cases, just 24 hours after no new cases were reported in the country for the first time since the outbreak began in the central city of Wuhan in December 2019.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
24/05/2020,New York Gov. Andrew Cuomo announced that professional sports teams can begin training in the state as coronavirus restrictions start to loosen.,,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
24/05/2020,"Muslims around the world began celebrating Eid al-Fitr, a holiday marking the end of the fasting month of Ramadan, with millions under strict stay-at-home orders.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
24/05/2020,Mexican President Andres Manuel Lopez Obrador said the coronavirus could cost as many as 1 million jobs in the country as many industries considered not essential remained shut.,,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
24/05/2020,"The Republican National Committee and other GOP groups filed a lawsuit against California Gov. Gavin Newsom, arguing a move to expand mail-in voting during the pandemic is illegal.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
24/05/2020,"Russia reported 153 coronavirus deaths in the past 24 hours, its highest daily toll yet, raising total casualties in the country to 3,541.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
24/05/2020,The White House announced a travel ban with Brazil that would bar anyone from entering the United States who had been in that country for the prior two weeks.,,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
25/05/2020,A second person in U.S. Immigration and Customs Enforcement custody died from COVID-19 complications.,,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
25/05/2020,"The World Health Organization warned that countries where coronavirus infections were declining could still face an ""immediate second peak"" if they let up too soon on measures to halt the outbreak.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
25/05/2020,"California's state health department announced that counties can reopen places of worship for religious services, with restrictions that include limiting gatherings to 100 people or less.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
25/05/2020,The U.S. Department of Justice sent a stern letter to Nevada Gov. Steve Sisolak warning that the department had civil rights concerns over the state's ban on gatherings of 10 or more people for religious worship services.,,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
25/05/2020,The Chinese Center for Disease Control and Prevention said that following an investigation of the animals at the Wuhan Seafood Market — where the first cases of COVID-19 were initially reported — it has ruled the site out as the origin of the outbreak.,,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
25/05/2020,"The World Health Organization announced that it was suspending a trial of hydroxychloroquine in treating COVID-19, saying fears of the drug's potential danger is causing it to ""err on the side of caution.""",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
25/05/2020,"Russian health authorities reported 8,946 new confirmed cases of COVID-19, bringing the nationwide total to more than 350,000 cases since the start of the outbreak. Russia had the third highest number of reported cases in the world, behind only the U.S. and Brazil.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
25/05/2020,"U.K. Prime Minister Boris Johnson faced rising anger among lawmakers in his own party, bishops and the public at large after he supported an aide who drove hundreds of miles out of London during the lockdown.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
25/05/2020,Japanese Prime Minister Shinzo Abe announced plans to lift a state of emergency for Tokyo and four remaining areas but said that it could be reimposed if the pace of infections picked up.,,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
25/05/2020,"Syria reported 20 new coronavirus cases, the country’s largest single-day increase to date.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
25/05/2020,Spain’s government announced plans to lift a requirement for foreign tourists to undergo a two-week quarantine beginning July 1.,,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
25/05/2020,League officials announced that Japan’s professional baseball season will begin on June 19 with no fans in attendance.,,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
25/05/2020,"The NHL announced plans to allow small groups of players, no more than six, to gather for workouts in early June, with an eye toward restarting play and resuming its coronavirus-halted season.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
25/05/2020,"Doctors in Austria announced that they completed a lung transplant on a COVID-19 patient, the first to be done in Europe.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
25/05/2020,"Iceland eased its national alert against the coronavirus, allowing for public gatherings of up to 200 people and night clubs and gyms to reopen.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
25/05/2020,"President Trump said he had ""just finished"" taking a two-week course of the antimalarial drug hydroxychloroquine, the medication he has vigorously promoted as a preventative or curative treatment for coronavirus, even as evidence piles up that the drug may cause more harm than good.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
25/05/2020,"Joe Biden appeared in public for the first time in more than two months, laying a wreath to honor the fallen at a Delaware war memorial on Memorial Day.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
25/05/2020,"President Trump threatened to move the Republican National Convention from Charlotte, North Carolina, if there is a chance the venue might not be filled there later this summer due to virus-related restrictions.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
25/05/2020,George Floyd death,Death,USA,,,,,,,,,,,,,,
26/05/2020,"The CDC reported that more than 62,000 doctors, nurses and other health care providers on the front lines of the U.S.'s COVID-19 crisis had been infected, and at least 291 had died.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
26/05/2020,"Saudi Arabia announced that it will amend its curfew times and lift a ban on domestic travel, with the exception of the holy city of Mecca starting May 28.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
26/05/2020,New Jersey Gov. Phil Murphy announced that professional sports teams in the state would be allowed to practice and play in games or matches.,,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
26/05/2020,"Virginia Gov. Ralph Northam said Virginians will be required to wear face coverings ""inside at a public place,” beginning on May 29.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
26/05/2020,WHO releases Manifesto for a healthy recovery from COVID-19.,,,World Health Organization,https://www.who.int/news-room/feature-stories/detail/who-manifesto-for-a-healthy-recovery-from-covid-19,,,,,,,,,,,,
26/05/2020,The World Health Organization said the Americas had emerged as the new epicenter of the coronavirus pandemic.,,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
26/05/2020,Chilean authorities said intensive care units in the country’s hospitals are nearly at capacity amid a flood of coronavirus patients.,,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
26/05/2020,"Sweden’s government defended its response to the COVID-19 global pandemic despite the Scandinavian country reporting one of the highest mortality rates in the world with 4,125 fatalities, or about 40 deaths per 100,000 people.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
26/05/2020,"Miami Mayor Francis Suarez said the city will allow dine-in eating to resume at restaurants, but with restrictions aimed at slowing the spread of the coronavirus.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
26/05/2020,"Los Angeles Mayor Eric Garcetti said customers would be welcome back inside retail businesses, and houses of worship could resume in-person services.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
26/05/2020,Nevada Gov. Steve Sisolak canceled a press briefing after learning of a possible exposure to COVID-19.,,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
26/05/2020,California gave the green light for hair salons and barber shops to reopen in parts of the state that are seeing fewer coronavirus hospitalizations and deaths.,,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
26/05/2020,Italy’s famed archaeological site Pompeii reopened to the public for the first time since the beginning of the country’s lockdown.,,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
26/05/2020,The New York Stock Exchange’s famous trading floor partially reopened.,,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
26/05/2020,"Bethlehem's Church of the Nativity, the traditional birthplace of Jesus, reopened to worshipers and tourists as Palestinian authorities eased coronavirus restrictions in the West Bank.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
26/05/2020,"Russian authorities reported a record 174 COVID-19 fatalities as cases continued to climb at a flat rate nationwide. There were more than 360,000 reported infections in the country.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
26/05/2020,"Australia’s Prime Minister said that he will not open the country’s borders “anytime soon,” but would continue to discuss the possibility of establishing a safe travel zone with neighboring New Zealand.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
27/05/2020,"Wisconsin saw a record number of new coronavirus cases and deaths reported in a single day, two weeks after the state’s Supreme Court struck down its statewide stay-at-home order.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
27/05/2020,Nevada Gov. Steve Sisolak said he tested negative for coronavirus after possible exposure during a visit to an employment center.,,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
27/05/2020,"The United States surpassed 100,000 coronavirus deaths.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
27/05/2020,A large federal trial of remdesivir entered its next phase to test the effects of combining the antiviral drug with a pill to bring down inflammation.,,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
27/05/2020,"More than 2 million students returned to school in South Korea, as the country recorded the highest number of new infections in more than a month.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
27/05/2020,"Boeing announced plans to lay off 6,770 workers, as the coronavirus crisis continued to hammer the aircraft manufacturer.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
27/05/2020,"The Egyptian Medical Syndicate, the main union for doctors in Egypt, released a statement warning that the country’s health system could “completely collapse” if the government continues to provide inadequate personal protective equipment to health care workers.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
27/05/2020,"The Walt Disney Company announced plans to begin a phased reopening of some of its Orlando, Florida, parks. Walt Disney World's Magic Kingdom and Animal Kingdom are planning to open July 11. Epcot and Disney's Hollywood Studios are set to open July 15.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
28/05/2020,"French Prime Minister Edouard Philippe announced that most restaurants, parks and schools will progressively reopen from June 2, after nearly two months in lockdown.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
28/05/2020,"The United Nations confirmed that its annual climate summit, COP 26, will be pushed back to November 2021, delayed by one year, due to the coronavirus pandemic.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
28/05/2020,"San Francisco Mayor London Breed announced an order requiring nearly everyone to wear a mask when they're not at home — including runners, people on bicycles and generally anyone who is within 30 feet of another person not in their household.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
28/05/2020,"Missouri Gov. Mike Parson delayed rolling out the second phase of the state’s reopening plan, saying the extension would give some communities “more time to prepare.”",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
28/05/2020,The Boston Athletic Association announced that the Boston Marathon will be held as a virtual event this year.,,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
28/05/2020,"Chicago Mayor Lori Lightfoot announced that the city will begin reopening on June 3. Child care centers, libraries, hotels, hair salons and barber shops, dentist offices and other health care centers and non-essential retail businesses will be among those allowed to open as long as safety guidelines are followed. Restaurants and coffee shops will be open for outdoor dining only.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
28/05/2020,"Prime Minister Boris Johnson announced a plan to further relax England’s coronavirus restrictions, allowing some outdoor vendors to reopen and increasing the number of people those in England can meet in parks or private gardens.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
28/05/2020,The Premier League announced that its 2019-20 season will resume on June 17 after a 100-day hiatus due to the coronavirus pandemic.,,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
28/05/2020,"Data released by the Department of Labor showed that more than 2.1 million Americans filed for unemployment benefits for the first time last week, the 10th straight week that jobless claims have been in the millions.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
28/05/2020,"The Texas Supreme Court blocked an effort by Democrats in the state to expand voting by mail, ruling that lack of immunity to COVID-19 does not qualify a person to apply for a mail-in ballot.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
28/05/2020,"The coronavirus death toll in Russia passed 4,000. Despite the increasing number of deaths and infections, from June 1 Moscow planned to begin ""Phase 1"" of easing its lockdown, with some non-food stores and businesses re-opening.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
28/05/2020,"Coronavirus cases in Iraq surpassed 5,000, with the vast majority of new cases recorded in Baghdad. The country also reported 175 coronavirus deaths.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
28/05/2020,"The World Health Organization announced the creation of a foundation for new sources of funding. WHO Director-General Tedros Ghebreyesus said it would ease a potential financial shortage and that funds will go towards all of the agency’s projects, including vaccine research and preparing for future pandemics.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
28/05/2020,"South Korea reported its biggest spike in coronavirus cases in more than 50 days, marking a setback after the country won praise for initially bringing its epidemic under control. The resurgent spike of 79 new cases was linked to workers at a massive logistics warehouse in Seoul, operated by a local e-commerce giant.",,,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341,,,,,,,,,,,,
